file,inputs,keys,outputs,gates,iteration,backbones_count,cube_count,cpu_time,maxrss,key
dac12/ex1010_enc05.bench,10,253,10,5326,84,0,2344810,6.34292,41.4023,0000000011011010011100000001001000010000000100010010110110100010001000101000000110001100000000001110010100000000001010000100110100000000001001010001000001110010011001000000000010000010101010101110000001100001100011110000000000000001100010010100010101011
dac12/ex1010_enc10.bench,10,507,10,5580,152,0,4494222,23.2142,61.7031,000000001101101000110000000100100001000000000001001011011010001000100000100000011000111100000000111001010000000000101000010011011000000000100101000100000111001001100100000000001000001010101010010000000000000110001111000000000000000110000111010001010101000001000100000010010000000100000000001000011011000100000001000000000000100111010101001110000001010000001010000001010010010100001000000000010000010000100100010101110110010011010100010101000100001000011011000100101000111110100101111110100000001000101000101
dac12/ex1010_enc25.bench,10,1267,10,6340,280,0,9753510,94.4829,140.23,0000000011011010011100000001001000010000001000010010110110100010001001001000000110001100000000001110010100000000001010000100110101000000001001010001000001110010011001000000000010000010101010101110000110000001100011110000000000000001100010010100010101010000010001000000100100010001000000000011000110110101000000010000000000001001110101010011100000010100000010100000001101000101000010000000000100000100001001100101010001000100110101000101011001000010100110110000000000001111111101010111101000000010001010001010001000100000000100100010100000101101101000101110010011010010101000101001010000001110001001011010101000110000001010100000101010000000100000110000010100000000011110100100000101010100000010100010001110010110010101001110110000001010100010001010000110011011110101111001010000100100101011000000000001001010101000000011100000000001000000000000100000000000011000101001000100010100010100000100000110101000000010010010000111010000000000010100010100000100000111001100010100011110000100000101010100010110000010010101000100010100010100001100010001010001010000000001010010010000110111100000010000000101001001010001000111001000101000100011010001100010001000100000101010001000000001001010101010100000000101000010101011101001110000111111001000001010101001100000001101000000000
dac12/ex1010_enc50.bench,10,2533,10,7606,409,0,17894860,388.567,310.582,0000000011011010001100000001001000010000000000010010110110100010001000001000000110001100000000001110010100000000001010000100110111000000001001010001000001110010011001000000000011000010101010100100000000000001100011110000000000000001100100010100010101010000010001000000100100110001000000000010000110110101000000010000000000001001110101100011100000010100000010100000001101000101000010001010000100000100001001010101010001000100110101000101011001000010010110110000011110001111010001010011101000000010001010001010001000100000000001100010100000101000110000101000010011000010101000101000000000001100101001011010101000100000001010100000101010000000100000110000010100000000011100100100000101010100000010100010001000010100010110000010110000001010100010001010001110011011101101111001010000100100101011000000000001001010101000000011100000000001000011110000100000000000011000101001000100010100100100000100000110101000000010010010000111010000000000010100010100000100000101001010000100011100000100000101010100010111000010010101000111010100010100000000010001010001010000000001010010100000110111100000011100000101001001010001000111001000101000100011010001110010001000100000101010001000000001001010110010100000000001000100001000101000110000110001001000001100101001100000001101000000000010010101000000000100000100101010000100000100101010100000010011110010000011000100000001011000000000000000001101010101010101000000001000100100101000010000000000001001101000101001101000000000100000000000000100000000010100000101011000000100010010000100011000110001000100000000001000000000000010101000100000101010010100000011100010000010101010000000100010000000010000000001000000101000010011000101110010011111010100001000011111001100000000000010010100101101001101101010001000010110100011011010000000100101010001010010101000101000100000001000000001100000100001010000100100000010001010100011011010101000110100000000000000011010011101000000000010101000000100000000100010000010000000010101011000001000001000101001000010111010000101001000000110100000000110000001100110110101000000010010000001010000100010000000001000001000010010001010100111001100111001001110000000000000100100111100100000100100011000010000101110001110010100110001010011111010111111100000010000000101100010001000011100011110010000100000100000001110101001000101010100010011011000011000001010000011100010100000000010001001000000101000100100011000001000001010100011110001000011001001011100110000100000001010001010001010000000100001010100010000110000110100000001000000110001010001000100010101100010000000101010111
dac12/ex5_enc05.bench,8,53,63,1109,21,0,121124,0.228152,7.51562,10000011111100110111100110000010011101111000011000111
dac12/ex5_enc10.bench,8,106,63,1165,29,0,180500,0.413756,9.41016,1110100100110011011111001110010110110011100001101010011010100001111001001000101101110011000101011010011000
dac12/ex5_enc25.bench,8,264,63,1324,56,0,409436,1.82416,12.6094,000000101111001100000001111000100011000110000000101010010010011111100100100011011011010111010101000001100011000001000011000011010000000001000000110100000111010001100100000000001000001000100000101000000000110101001000101100000000000001110001101101011010110010001000
dac12/ex5_enc50.bench,8,528,63,1588,78,0,715042,6.35523,21.875,000000101111001100000001101000100010110110100110101011101010011111100100100000011011001101110101000001100101000001000011000011010000000001001001110100000111010001100101010000001000000001100000101000000000110101001000101100000000100001001001101101011010110010001000000110000000110000100001001110001011010111000000101010100000100000000100010000010010100110001011100000110001101100101000101011100000101100001001101001001000110101011000101000010100101010100011000011000000100000101100000000100000000101000000111000010010000001000100
dac12/i4_enc05.bench,192,17,6,355,13,0,20536,0.034185,6.61328,11111111000111110
dac12/i4_enc10.bench,192,34,6,375,49,0,80336,0.247545,6.61328,0001001011000111011111001011100000
dac12/i4_enc25.bench,192,85,6,434,149,0,302830,3.16545,17.5195,0101011001001111011111001110001110001011000100010011000101000111100001001011000101110
dac12/i4_enc50.bench,192,129,6,488,279,0,667618,15.9218,46.2109,011111000001101101111100101010100011010011010001001111001010011111100100101100011011001111011001101001100011000001010110010011100
dac12/i7_enc05.bench,199,66,67,1389,14,0,95370,0.171418,9.82812,110001101110110011110100110100100010000110001111001011100110110111
dac12/i7_enc10.bench,199,132,67,1470,23,0,165364,0.508132,13.5234,111010010011011001100100111000100010000101011011001000101010011111101000010111110111001110001001100011100011000001010110010011100000
dac12/i7_enc25.bench,199,329,67,1703,26,0,231768,1.05331,12.3516,10010000001010110111010011010010001000010100010100100010011001110010010001000001011100111000100110001110001100000101011001001110000010000101110111100000011101000111100110000000100000110011001110100100000011101000111100110000000000000110100000110000101010111000001001001000000011001010000010000010101000001100111100101010000010011
dac12/i7_enc50.bench,199,658,67,2043,35,0,392274,2.94591,16.9727,1001000100110110011001001101001000100001010001010010001001100111001001000100000101110011100010011000111000110000010101100100111000001010011101100010010001110100011110111010101101000111001100111010011000100101010010110011000000000000011011010011000010101010100010000110000000001000100010011100010010100111001101010010101001001001100011100000001100100010010000100000010011010011001010010011100000001101101000000010011000001000000010001010111000010010101001101000001110101010000100101000000110000010000010001010000000100000000100100110100000101110100100111110001010011000000001010000101001101001101111000010101110000100100000100000101011010000000000000011100010
dac12/i8_enc05.bench,133,123,81,2598,31,0,431616,1.18377,18.8281,000111101110001100011100100110100111101110010001001011010010110101010100100000011011100111011001101001100011000001101010010
dac12/i8_enc10.bench,133,246,81,2721,48,0,708736,2.8576,20.9141,000000101001001010011111100000100001000110010001001000010010111100010100000100010011001100011001101000110110100001000010000111001000011000101000011000000111010001111101100000001000001100110011101000000000111010001111001100000001100111110111101101
dac12/i8_enc25.bench,133,616,81,3097,73,0,1282864,19.6805,39.6211,0000001010010010100111001000001000010001010100010010000100101101100101000001000110110010110010011010011000100000010000100101111010001100001110011110000001110100011111011000000010000011001100111010000000001110100011110011000000011001111101111011011000101100100010000001111100101101000011111011110010110110110011011100101000000101111001010111101100101000011111011001110101111101011000001100100000001011010110011010100010010110011010000101000011001101000001000000010001001110111000111001000000000010010011000010010111111110011110000010110110010011000111001111000001100110101000101000011001110000001001010100010011001011
dac12/i8_enc50.bench,133,1232,81,3718,92,0,2039490,111.631,78.293,00000010100100101001110010000010010010110101000100100001101001110001010000010001001100010000100110000001001010000100001000000000010000000000000111100000011101000111110110000000100000110011001110100000000011101000111100110000000110011111011110110110101011001000100000010111000011010000111111111100101101101100110111001010000001011110010111111011001010000111110110011101011011110110100010101110000010100001100110101000100101100110100001010000110011010000010000000100010011000110001110010000000000100100110000100101101111100111100000101001100100111100010011110000011001101010001010000110011100000010010101000100110010101001101000001011010000000110000000110000010100100011000100100001101010110000110001011100011100111110010011101111011011001111000011100000010110001011000101000010101000101010110000000001000010110010111000111000100010011100001110010110011110110111101100101010000010000110101001001010000000000111000100010000010010001001100000100000001101000000000100110000001000101010111001010101000101010010000101010001000101110101000011000000000100000000110000000100011000100100000010111010110001010010000000010001110101011010110101100100010000011000001010010010100000100110001001110100110000000010000110111000001010011100000001010100
dac12/i9_enc05.bench,88,52,63,1092,17,0,93906,0.313084,8.83203,0000011100000101010011001110001000010001100100010010
dac12/i9_enc10.bench,88,104,63,1150,33,0,191692,1.15371,10.6094,00000111000001010100110011100010000100011001000100101110101001111110010010000000111001100010011001000110
dac12/i9_enc25.bench,88,259,63,1317,34,0,236880,5.02138,16.6406,0010010100000101010011001110001000010001100100010010111010100111111001001000010011000110001001100100011000110000010101100100100000000000001000100000000000001010000000100000000010000010101010111011100000001110100000000000000000011001011101111011011010101100100
dac12/i9_enc50.bench,88,518,63,1576,29,0,256800,5.75727,18.5977,00000111000001010100110011100010000100011001000100101110101001111110010010000000111001100010011001000110001100000101011001001000000000000010001000000000000010100000001000000000100000101011001000100000000011101000000000000000000110010011011110110110101011001000010000000000000000010000100001001100101000100000101000011001000010000001110111001010100000000000101000011101010010101000000010011000000010000000100000001100100100000001000010010100010011001101000100000010100011011100010000100010000000100100000011100100000101
dac12/k2_enc05.bench,46,91,45,1906,62,0,641050,1.15047,15.4805,1110100100110011011111001110001000100010100100010010111010100111111001001000000110110011110
dac12/k2_enc10.bench,46,182,45,1997,67,0,737832,2.09599,15.3945,11101001001100110111110011100010001000011001000100101110101001111110010010000001101100111101100110100110001100000100001000000110000000000101000100010000010010000111101000000000100000
dac12/k2_enc25.bench,46,454,45,2269,96,0,1252022,5.69822,20.0352,1110100100110011011111001110001000100010100100010010111010100111111001001000000110110011110110011010011111010000010000100000011000001010011011100010111101001000011111011110011101111101001100111000010011011001111010010100111000011001111100011100110110100000100010110000101101001100010101111110000110100011001101101010011110001001111001011111101100101000001111000001110101110001000000110101111000001011000011101100110101101110011010001010010001001101010110
dac12/k2_enc50.bench,46,908,45,2723,125,0,2057428,30.8286,46.5234,11101001001100110111110011100010001000011001000100101110101001111110010010000001101100111101100110100111110110011111111111111010000000000101110100101111010010000111110111100111011111010011001110000100110110011110100100011110000110011110100111001101101000001000100000001011010011000101011111100001101000110011011010100111100010011110010111111011001010000011110001001101011100010001011101011110000010110000111011001100101111100110100010100100010011010101101100000100100011010000011111000110000000100100100101011101101111100110110010001000011000010011000011001101011001101010010011101010001000110010010101100000111110110010110110010011000111110110011000010001110011111011111001110001101010110000110001011100011100111110010011101111011011001110100011100010011000111101011110011011001000101010110000000001000010110011010011100110101011011100001111010110011110110111101100101101110110000110110001001101101010000111
dac12/seq_enc05.bench,41,176,35,3700,73,0,1383020,3.55094,30.457,00000111001100100010000001100001001000000000100010101000100101100000010010000001010000100101010101010101000000000101010110001110000000000101110111100000010001000001000101001100
dac12/seq_enc10.bench,41,352,35,3879,120,0,2438182,9.88609,37.6367,0000011100110010001000000110000100100000000010001010100010010110000001001000000101000010010101010101010100000000010101011000111000000000010001011110000001111011000111101011111101111100110010010101001111110011101000101011001111011111110001111011011010010011011110000001001000000001000011100001110010101101110000011010101000001001000100001000001010100100
dac12/seq_enc25.bench,41,880,35,4413,213,0,5133414,34.8737,76.8672,0000011100110010001000000110000100100000000010001010100010010110000001001000000101000010010101010101010100000000010101011000111000110000010001011110000001000100000100010100000010000000000000110101000000000000010100101010100000000000010001100010111010010000100001000001001000000001000011100001000010101101110000011010101000001001000100001000001010100100000000000000001010010001001010001000010100000100001000000010001001010000000010001010001000011010110000000000001010001011001010101000000100000001010000000001001101000001010001000001100001001000000110100010010101000010010101000001010101110000100001000000001011000100000001000001001010000100000000000011010100001100010010011111000111111011000100111101101001000000000101001110001101101010100010001000001000011011110101000101011010001010101010100000000100000100000001000001010101000100010000110001000000100100010001100110110100010100
dac12/seq_enc50.bench,41,1760,35,5295,257,0,7819326,94.796,142.066,00000111001100100010000001100001001000000000100010101000100101100000010010000001010000100101010101010101000000000101010100001110010100000100010111010000010001000001000101000000100000000000001101010000000000000101001010101000000000000100011000101110100100001000010000010010000000010000111000010000101011011100000110101010000010010001000010000010101001000000000000000010100100010010100010000101000001000010000000100010010100011000100010100010000110101100000000000010100010110010101010000001000000010100000000010011010000010100010000011000010010000001101000100101010000100101010000010101011100001000010000000010110001000000010000010010100001000000000000110101000011000100100111110001101001110000101001011010010000000001010011100011011010101000100010000010000110111101010001010110100010101010101000000001000001000000010000010101010001000100001100010000001001000100011001101101000101000000100100101000101010000100000100010001001000000101000101000101001010100000000100000010100100010100000001010101000110100001000010110010001010110101000000000111010100100100000000011100000000010010000010100010100101010001010100010000001100110101000101010100100100100010001000001100000000000100000011010100000000000010000011000100000110011010001000001001000000000110000010110110101000011000100110100011000100011100000011000001101001010001000000001000001000100010001010000001100010000010011011001011001000100110010000000001010001000000001101000011010010010100010110011010000000001010111010000001001100000100011010100010000000100110000010101000001001010000100000000100010100001001101001010111000010001000000000010101000000001010000001001100000000000100010100010010101010000101000000101000000000100100010001111010000010100000000110100010100011010100010101010010000101000000000100010001
